"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 44","10","10.430c","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 45","10","10.430b","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 47","2","2.38e","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 51","3","3.85f","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 52","11","11.460c","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 57","2","2.37e","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 107","7","7.311a","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 151","3","3.73e","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","Alcaei scolia","","","","15","15.693f","","",""
"ALCAEVS","","","","comicus","","Ἀδελφαὶ Μοιχευόμεναι","","","fr. 1","7","7.316b","","",""
"ALCAEVS","","","","comicus","","Γανυμήδης","","","fr. 5","3","3.110a","","",""
"ALCAEVS","","","","comicus","","Γανυμήδης","","","fr. 9","10","10.445e","","",""
"ALCAEVS","","","","comicus","","Ἱερὸς Γάμος","","","fr. 15","10","10.424d","","","range start"
"ALCAEVS","","","","comicus","","Ἱερὸς Γάμος","","","fr. 15","10","10.424e","","","range end"
"ALCAEVS","","","","comicus","","Ἱερὸς Γάμος","","","fr. 16","9","9.408e","","",""
"ALCAEVS","","","","comicus","","Καλλιστώ","","","fr. 17","9","9.399f","","",""
"ALCAEVS","","","","comicus","","Παλαίστρα","","","","15","15.691b","","",""
"ALCAEVS","","","","comicus","","Παλαῖστραι","","","fr. 22","9","9.396c","","",""
"ALCAEVS","","","","comicus","","Παλαῖστραι","","","fr. 23","15","15.691b","","",""
"ALCAEVS","","","","comicus","","Παλαῖστραι","","","fr. 24","9","9.370f","","",""
"ALCAEVS","","","","comicus","","Παλαῖστραι","","","fr. 25","3","3.107f","","",""
"ALCAEVS","","","","comicus","","fab. incert.","","","fr. 36","7","7.316c","","",""
"ALCETAS","","","","","","ἐν βʹ Περὶ τῶν ἐν Δελφοῖς ἀναθημάτων","","","fr. 1","13","13.591c","","",""
"ALCIDAMAS","ὁ Ἐλαίτης","","","","","Ἐγκώμιον Ναίδος τῆς ἑταίρας","","","fr. 3","13","13.592c","","",""
"ALCIMVS","ὁ Σικελιώτης (10.441a)","","","","","ἐν τοῖς Σικελικοῖς","","","fr. 1","7","7.322a","","",""
"ALCIMVS","ὁ Σικελιώτης (10.441a)","","","","","ἐν τῇ ἐπιγραφομένη τῶν βίβλων Ἰταλικὴ","","","fr. 4","10","10.441a","","","range start"
"ALCIMVS","ὁ Σικελιώτης (10.441a)","","","","","ἐν τῇ ἐπιγραφομένη τῶν βίβλων Ἰταλικὴ","","","fr. 4","10","10.441b","","","range end"
"ALCIMVS","ὁ Σικελιώτης (10.441a)","","","","","libri incerti","","","fr. 5","12","12.518b","","",""
"ALCIPHRO","Magnes","","","philosophus (12.518d adn.)","","","","","","12","12.518d","","adn.",""
"ALCIPHRO","ὁ Μαιάνδριος","","","","","","","","","1","1.31d","","",""
"ὁ τὴν ΑΛΚΜΑΙΩΝΙΔΑ ποιήσας","","","","","","","","","fr. 2","11","11.460b","","",""
"ALCMAN","","","","","","","ἐν τῷ τρίτῳ","","fr. 33","10","10.416c","","","range start"
"ALCMAN","","","","","","","ἐν τῷ τρίτῳ","","fr. 33","10","10.416d","","","range end"
"ALCMAN","","","","","","","ἐν τῷ εʹ","","fr. 74b","3","3.110f","","",""
"ALCMAN","","","","","","","ἐν τῷ εʹ","","fr. 74b","3","3.111a","","",""
